entry_type,citation_key,author,booktitle,editor,journal,note,number,organization,pages,publisher,title,url,volume,year
article,caruana2004kdd,"Caruana, Rich and Joachims, Thorsten and Backstrom, Lars",,,ACM SIGKDD Explorations Newsletter,,2,,95--108,"ACM New York, NY, USA",{KDD-Cup 2004: Results and Analysis},,6,2004
inproceedings,papineni2002bleu,"Papineni, Kishore and Roukos, Salim and Ward, Todd and Zhu, Wei-Jing",Proceedings of the 40th annual meeting of the Association for Computational Linguistics,,,,,,311--318,,{BLEU: A method for automatic evaluation of machine translation},,,2002
article,menze2014multimodal,"Menze, Bjoern H and Jakab, Andras and Bauer, Stefan and Kalpathy-Cramer, Jayashree and Farahani, Keyvan and Kirby, Justin and Burren, Yuliya and Porz, Nicole and Slotboom, Johannes and Wiest, Roland and others",,,IEEE transactions on medical imaging,,10,,1993--2024,IEEE,{The multimodal brain tumor image segmentation benchmark (BRATS)},,34,2014
book,siddiqi2012credit,"Siddiqi, Naeem",,,,,,,,John Wiley \& Sons,{Credit Risk Scorecards: Developing and implementing intelligent credit scoring},,3,2012
article,singh2025leaderboard,"Singh, Shivalika and Nan, Yiyang and Wang, Alex and D'Souza, Daniel and Kapoor, Sayash and {\""U}st{\""u}n, Ahmet and Koyejo, Sanmi and Deng, Yuntian and Longpre, Shayne and Smith, Noah A and others",,,arXiv preprint arXiv:2504.20879,,,,,,{The Leaderboard Illusion},,,2025
inproceedings,liao2021we,"Liao, Thomas and Taori, Rohan and Raji, Inioluwa Deborah and Schmidt, Ludwig",Thirty-fifth Conference on Neural Information Processing Systems Datasets and Benchmarks,,,,,,,,{Are We Learning Yet? A meta review of evaluation failures across machine learning},,,2021
misc,fmf-redteaming,FMF,,,https://www.frontiermodelforum.org/uploads/2023/10/FMF-AI-Red-Teaming.pdf,,,,,,{Frontier Model Forum: What is Red Teaming?},,,2023
book,bernard2012research,"Bernard, H. Russell",,,,,,,,Sage,{Social Research Methods: Qualitative and quantitative approaches},,,2012
misc,ISO9000:2015,ISO,,,ISO 9000:2015,,,,,,{Quality management systems—Fundamentals and vocabulary},https://www.iso.org/standard/45481.html,,2015
article,adcock2001measurement,"Adcock, Robert and Collier, David",,,American political science review,,3,,529--546,Cambridge University Press,Measurement validity: A shared standard for qualitative and quantitative research,,95,2001
