abstract,abstractnote,address,annote,archiveprefix,articleno,author,author1_email,author1_url,author2_email,author2_url,bdsk-url-1,booktitle,chapter,citation_key,collection,contact,copyright,date,day,doi,edition,editor,entry_type,eprint,file,howpublished,institution,isbn,issn,issue,issue_date,journal,keywords,language,lccn,location,month,note,number,numpages,organization,pages,pmcid,pmid,primaryclass,publisher,rights,school,series,shorttitle,title,type,url,urldate,volume,year
,,,,,,"Yann LeCun and Bottou, Leon and Bengio, Yoshua and Haffner, Patrick",,,,,http://yann.lecun.com/exdb/publis/pdf/lecun-01a.pdf,\textit{Proceedings of the IEEE},,lenet,,,,,,,,,inproceedings,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{Gradient-Based Learning Applied to Document Recognition},,http://yann.lecun.com/exdb/publis/pdf/lecun-01a.pdf,,,Nov. 1998
,,,,,,Jerome H. Friedman,,,,,http://statweb.stanford.edu/?jhf/ftp/trebst.pdf,,,greedyfunction,,,,,,,,,article,,,,,,,,,\textit{Annals of Statistics},,,,,,,,,,1189--1232,,,,,,,,,\textbf{Greedy Function Approximation: A Gradient Boosting Machine},,http://statweb.stanford.edu/?jhf/ftp/trebst.pdf,,29,1999
,,,,,,H2O.ai Team,,,,,http://data.h2o.ai,,,h2odatasets,,,,,,,,,misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{H2O Datasets},,http://data.h2o.ai,,,\the\year
,,,,,,H2O.ai Team,,,,,http://docs.h2o.ai,,,h2odocs,,,,,,,,,misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{H2O documentation},,http://docs.h2o.ai,,,\the\year
,,,,,,H2O.ai Team,,,,,https://github.com/h2oai/h2o/tree/master/docs/deeplearning/DeepLearningRVignetteDemo,,,h2ogithubdl,,,,,,,,,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{H2O GitHub repository for Deep Learning documentation},,https://github.com/h2oai/h2o/tree/master/docs/deeplearning/DeepLearningRVignetteDemo,,,\the\year
,,,,,,H2O.ai Team,,,,,https://github.com/h2oai,,,h2ogithubrepo,,,,,,,,,misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{H2O GitHub Repository},,https://github.com/h2oai,,,\the\year
,,,,,,H2O.ai Team,,,,,https://jira.h2o.ai,,,h2ojira,,,,,,,,,misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{H2O JIRA},,https://jira.h2o.ai,,,\the\year
,,,,,,H2O.ai Team,,,,,http://h2o-release.s3.amazonaws.com/h2o/latest_stable_Pydoc.html,,,Pydocs,,,,,,,,,misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{H2O Python Documentation},,http://h2o-release.s3.amazonaws.com/h2o/latest_stable_Pydoc.html,,,2015
,,,,,,H2O.ai Team,,,,,http://h2o-release.s3.amazonaws.com/h2o/latest_stable_Rdoc.html,,,rdocs,,,,,,,,,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{H2O R Package Documentation},,http://h2o-release.s3.amazonaws.com/h2o/latest_stable_Rdoc.html,,,\the\year
,,,,,,H2O.ai Team,,,,,http://h2o.ai,,,h2osite,,,,,,,,,misc,,,,,,,,,H2O.ai,,,,,,,,,,,,,,,,,,,\textbf{H2O website},,http://h2o.ai,,,\the\year
,,,,,,H2O.ai Team,,,,,http://www.h2o.ai,,,h2o_Python_module,,,,,,,,,manual,,,,,,,,,,,,,,,Python package version 3.1.0.99999,,,,,,,,,,,,,\textbf{h2o: Python Interface for H2O},,http://www.h2o.ai,,,\the\year
,,,,,,H2O.ai Team,,,,,http://www.h2o.ai,,,h2o_R_package,,,,,,,,,manual,,,,,,,,,,,,,,,R package version 3.1.0.99999,,,,,,,,,,,,,\textbf{h2o: R Interface for H2O},,http://www.h2o.ai,,,\the\year
