entry_type,citation_key,address,author,booktitle,editor,institution,journal,month,note,number,organization,pages,publisher,title,volume,year
inproceedings,lime,,Marco Tulio Ribeiro and Sameer Singh and Carlos Guestrin,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,,URL: \url{http://www.kdd.org/kdd2016/papers/files/rfp0573-ribeiroA.pdf},,ACM,1135--1144,,Why {S}hould {I} {T}rust {Y}ou?: {E}xplaining the {P}redictions of {A}ny {C}lassifier,,2016
article,please_stop,,"Rudin, Cynthia",,,,arXiv preprint arXiv:1811.10154,,URL: \url{https://arxiv.org/pdf/1811.10154.pdf},,,,,Please {S}top {E}xplaining {B}lack {B}ox {M}odels for {H}igh {S}takes {D}ecisions,,2018
book,shapley1988shapley,,"Shapley, Lloyd S. and Roth, Alvin E. and others",,,,,,URL: \url{http://www.library.fa.ru/files/Roth2.pdf},,,,Cambridge University Press,\textit{The Shapley value: {E}ssays in Honor of {L}loyd {S}. {S}hapley},,1988
inproceedings,membership_inference,,"Shokri, Reza and Stronati, Marco and Song, Congzheng and Shmatikov, Vitaly",2017 IEEE Symposium on Security and Privacy (SP),,,,,URL: \url{https://arxiv.org/pdf/1610.05820.pdf},,IEEE,3--18,,Membership {I}nference {A}ttacks {A}gainst {M}achine {L}earning {M}odels,,2017
article,shokri2019privacy,,"Shokri, Reza and Strobel, Martin and Zick, Yair",,,,arXiv preprint arXiv:1907.00164,,URL: \url{https://arxiv.org/pdf/1907.00164.pdf},,,,,Privacy {R}isks of {E}xplaining {M}achine {L}earning {M}odels,,2019
article,scaffolding,,"Slack, Dylan and Hilgard, Sophie and Jia, Emily and Singh, Sameer and Lakkaraju, Himabindu",,,,arXiv preprint arXiv:1911.02508,,URL: \url{https://arxiv.org/pdf/1911.02508.pdf},,,,,How {C}an {W}e {F}ool {L}{I}{M}{E} and {S}{H}{A}{P}? {A}dversarial {A}ttacks on {P}ost-hoc {E}xplanation {M}ethods,,2019
article,kononenko2010efficient,,"Strumbelj, Erik and Kononenko, Igor",,,,Journal of Machine Learning Research,,URL: \url{http://www.jmlr.org/papers/volume11/strumbelj10a/strumbelj10a.pdf},Jan,,1--18,,An {E}fficient {E}xplanation of {I}ndividual {C}lassifications using {G}ame {T}heory,11,2010
article,intriguing_properties,,"Szegedy, Christian and Zaremba, Wojciech and Sutskever, Ilya and Bruna, Joan and Erhan, Dumitru and Goodfellow, Ian and Fergus, Rob",,,,arXiv preprint arXiv:1312.6199,,URL: \url{https://arxiv.org/pdf/1312.6199.pdf},,,,,Intriguing {P}roperties of {N}eural {N}etworks,,2013
inproceedings,model_stealing,,"Tram{\`e}r, Florian and Zhang, Fan and Juels, Ari and Reiter, Michael K. and Ristenpart, Thomas",25th $\{$USENIX$\}$ Security Symposium ($\{$USENIX$\}$ Security 16),,,,,URL: \url{https://www.usenix.org/system/files/conference/usenixsecurity16/sec16_paper_tramer.pdf},,,601--618,,Stealing {M}achine {L}earning {M}odels via {P}rediction {A}{P}{I}s,,2016
article,slim,,"Ustun, Berk and Rudin, Cynthia",,,,Machine Learning,,URL: \url{https://users.cs.duke.edu/~cynthia/docs/UstunTrRuAAAI13.pdf},3,,349--391,Springer,{Supersparse {L}inear {I}nteger {M}odels for {O}ptimized {M}edical {S}coring {S}ystems},102,2016
article,wf_xnn,,"Vaughan, Joel and Sudjianto, Agus and Brahimi, Erind and Chen, Jie and Nair, Vijayan N.",,,,arXiv preprint arXiv:1806.01933,,URL: \url{https://arxiv.org/pdf/1806.01933.pdf},,,,,Explainable {N}eural {N}etworks {B}ased on {A}dditive {I}ndex {M}odels,,2018
article,weller2017challenges,,"Weller, Adrian",,,,arXiv preprint arXiv:1708.01870,,URL: \url{https://arxiv.org/pdf/1708.01870.pdf},,,,,{C}hallenges for {T}ransparency,,2017
book,ff_interpretability,,"Williams, Mike and others",,,,,,URL: \url{https://www.cloudera.com/products/fast-forward-labs-research.html},,,,Fast Forward Labs,Interpretability,,2017
inproceedings,sbrl,,Hongyu Yang and Cynthia Rudin and Margo Seltzer,Proceedings of the 34th International Conference on Machine Learning {(ICML)},,,,,URL: \url{https://arxiv.org/pdf/1602.08610.pdf},,,,,Scalable {B}ayesian {R}ule {L}ists,,2017
inproceedings,zhang2018mitigating,,"Zhang, Brian Hu and Lemoine, Blake and Mitchell, Margaret","Proceedings of the 2018 AAAI/ACM Conference on AI, Ethics, and Society",,,,,URL: \url{https://arxiv.org/pdf/1801.07593.pdf},,ACM,335--340,,Mitigating {U}nwanted {B}iases with {A}dversarial {L}earning,,2018
