entry_type,citation_key,address,author,booktitle,editor,institution,journal,month,note,number,organization,pages,publisher,title,url,volume,year
incollection,shapley,,"Lundberg, Scott M. and Lee, Su-In",Advances in Neural Information Processing Systems 30,I. Guyon and U. V. Luxburg and S. Bengio and H. Wallach and R. Fergus and S. Vishwanathan and R. Garnett,,,,URL: \url{http://papers.nips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions.pdf},,,4765--4774,"Curran Associates, Inc.",A {U}nified {A}pproach to {I}nterpreting {M}odel {P}redictions,,,2017
incollection,tree_shap,,"Lundberg, Scott M. and Erion, Gabriel G. and Lee, Su-In",Proceedings of the 2017 ICML Workshop on Human Interpretability in Machine Learning (WHI 2017),Been Kim and Dmitry M. Malioutov and Kush R. Varshney and Adrian Weller,,,,URL: \url{https://openreview.net/pdf?id=ByTKSo-m-},,ICML,15--21,ICML WHI 2017,Consistent {I}ndividualized {F}eature {A}ttribution for {T}ree {E}nsembles,,,2017
book,molnar,,Christoph Molnar,,,,,,URL: \url{https://christophm.github.io/interpretable-ml-book/},,,,christophm.github.io,\textbf{\textit{{I}nterpretable {M}achine {L}earning}},,,2018
article,molnar2019quantifying,,"Molnar, Christoph and Casalicchio, Giuseppe and Bischl, Bernd",,,,arXiv preprint arXiv:1904.03867,,URL: \url{https://arxiv.org/pdf/1904.03867.pdf},,,,,Quantifying {I}nterpretability of {A}rbitrary {M}achine {L}earning {M}odels {T}hrough {F}unctional {D}ecomposition,,,2019
article,murdoch2019interpretable,,"Murdoch, W. James and Singh, Chandan and Kumbier, Karl and Abbasi-Asl, Reza and Yu, Bin",,,,arXiv preprint arXiv:1901.04592,,URL: \url{https://arxiv.org/pdf/1901.04592.pdf},,,,,"Interpretable {M}achine {L}earning: {D}efinitions, {M}ethods, and {A}pplications",,,2019
inproceedings,papernot2018marauder,,"Papernot, Nicolas",Proceedings of the 11th ACM Workshop on Artificial Intelligence and Security,,,,,URL: \url{https://arxiv.org/pdf/1811.01134.pdf},,ACM,,,A {M}arauder's {M}ap of {S}ecurity and {P}rivacy in {M}achine {L}earning: {A}n overview of current and future research directions for making machine learning secure and private,,,2018
article,pate,,"Papernot, Nicolas and Song, Shuang and Mironov, Ilya and Raghunathan, Ananth and Talwar, Kunal and Erlingsson, {\'U}lfar",,,,arXiv preprint arXiv:1802.08908,,URL: \url{https://arxiv.org/pdf/1802.08908.pdf},,,,,Scalable {P}rivate {L}earning with {P}{A}{T}{E},,,2018
inproceedings,lime,,Marco Tulio Ribeiro and Sameer Singh and Carlos Guestrin,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,,URL: \url{http://www.kdd.org/kdd2016/papers/files/rfp0573-ribeiroA.pdf},,ACM,1135--1144,,Why {S}hould {I} {T}rust {Y}ou?: {E}xplaining the {P}redictions of {A}ny {C}lassifier,,,2016
article,please_stop,,"Rudin, Cynthia",,,,arXiv preprint arXiv:1811.10154,,URL: \url{https://arxiv.org/pdf/1811.10154.pdf},,,,,Please {S}top {E}xplaining {B}lack {B}ox {M}odels for {H}igh {S}takes {D}ecisions,,,2018
book,shapley1988shapley,,"Shapley, Lloyd S. and Roth, Alvin E. and others",,,,,,URL: \url{http://www.library.fa.ru/files/Roth2.pdf},,,,Cambridge University Press,\textit{The Shapley value: {E}ssays in honor of {L}loyd {S}. {S}hapley},,,1988
inproceedings,membership_inference,,"Shokri, Reza and Stronati, Marco and Song, Congzheng and Shmatikov, Vitaly",2017 IEEE Symposium on Security and Privacy (SP),,,,,URL: \url{https://arxiv.org/pdf/1610.05820.pdf},,IEEE,3--18,,Membership {I}nference {A}ttacks {A}gainst {M}achine {L}earning {M}odels,,,2017
article,shokri2019privacy,,"Shokri, Reza and Strobel, Martin and Zick, Yair",,,,arXiv preprint arXiv:1907.00164,,URL: \url{https://arxiv.org/pdf/1907.00164.pdf},,,,,Privacy {R}isks of {E}xplaining {M}achine {L}earning {M}odels,,,2019
article,kononenko2010efficient,,"Strumbelj, Erik and Kononenko, Igor",,,,Journal of Machine Learning Research,,URL: \url{http://www.jmlr.org/papers/volume11/strumbelj10a/strumbelj10a.pdf},Jan,,1--18,,An {E}fficient {E}xplanation of {I}ndividual {C}lassifications using {G}ame {T}heory,,11,2010
inproceedings,model_stealing,,"Tram{\`e}r, Florian and Zhang, Fan and Juels, Ari and Reiter, Michael K and Ristenpart, Thomas",25th $\{$USENIX$\}$ Security Symposium ($\{$USENIX$\}$ Security 16),,,,,URL: \url{https://www.usenix.org/system/files/conference/usenixsecurity16/sec16_paper_tramer.pdf},,,601--618,,Stealing {M}achine {L}earning {M}odels via {P}rediction {A}{P}{I}s,,,2016
article,slim,,"Ustun, Berk and Rudin, Cynthia",,,,Machine Learning,,URL: \url{https://users.cs.duke.edu/~cynthia/docs/UstunTrRuAAAI13.pdf},3,,349--391,Springer,{Supersparse {L}inear {I}nteger {M}odels for {O}ptimized {M}edical {S}coring {S}ystems},,102,2016
article,wf_xnn,,"Vaughan, Joel and Sudjianto, Agus and Brahimi, Erind and Chen, Jie and Nair, Vijayan N.",,,,arXiv preprint arXiv:1806.01933,,URL: \url{https://arxiv.org/pdf/1806.01933.pdf},,,,,Explainable {N}eural {N}etworks {B}ased on {A}dditive {I}ndex {M}odels,,,2018
article,weller2017challenges,,"Weller, Adrian",,,,arXiv preprint arXiv:1708.01870,,URL: \url{https://arxiv.org/pdf/1708.01870.pdf},,,,,{C}hallenges for {T}ransparency,,,2017
book,ff_interpretability,,"Williams, Mike and others",,,,,,URL: \url{https://www.cloudera.com/products/fast-forward-labs-research.html},,,,Fast Forward Labs,Interpretability,,,2017
inproceedings,sbrl,,Hongyu Yang and Cynthia Rudin and Margo Seltzer,Proceedings of the 34th International Conference on Machine Learning {(ICML)},,,,,URL: \url{https://arxiv.org/pdf/1602.08610.pdf},,,,,Scalable {B}ayesian {R}ule {L}ists,,,2017
