entry_type,citation_key,address,author,booktitle,editor,howpublished,journal,note,number,organization,pages,publisher,title,volume,year
article,diffprivlib,,"Holohan, Naoise and Braghin, Stefano and Mac Aonghusa, P{\'o}l and Levacher, Killian",,,,arXiv preprint arXiv:1907.02444,URL: \url{https://arxiv.org/pdf/1907.02444.pdf},,,,,{D}iffprivlib: {T}he {I}{B}{M} {D}ifferential {P}rivacy {L}ibrary,,2019
article,ji2014differential,,"Ji, Zhanglong and Lipton, Zachary C. and Elkan, Charles",,,,arXiv preprint arXiv:1412.7584,URL: \url{https://arxiv.org/pdf/1412.7584.pdf},,,,,Differential {P}rivacy and {M}achine {L}earning: {A} {S}urvey and {R}eview,,2014
article,pate,,"Papernot, Nicolas and Song, Shuang and Mironov, Ilya and Raghunathan, Ananth and Talwar, Kunal and Erlingsson, {\'U}lfar",,,,arXiv preprint arXiv:1802.08908,URL: \url{https://arxiv.org/pdf/1802.08908.pdf},,,,,Scalable {P}rivate {L}earning with {P}{A}{T}{E},,2018
inproceedings,abadi2016deep,,"Abadi, Martin and Chu, Andy and Goodfellow, Ian and McMahan, H Brendan and Mironov, Ilya and Talwar, Kunal and Zhang, Li",Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security,,,,URL: \url{https://arxiv.org/pdf/1607.00133.pdf},,ACM,308--318,,Deep {L}earning with {D}ifferential {P}rivacy,,2016
book,book_of_why,,"Pearl, Judea and Mackenzie, Dana",,,,,URL: \url{http://cdar.berkeley.edu/wp-content/uploads/2017/04/Lisa-Goldberg-reviews-The-Book-of-Why.pdf},,,,Basic Books,The {B}ook of {W}hy: {T}he {N}ew {S}cience of {C}ause and {E}ffect,,2018
article,wachter2017counterfactual,,"Wachter, Sandra and Mittelstadt, Brent and Russell, Chris",,,,Harv. JL \& Tech.,URL: \url{https://arxiv.org/pdf/1711.00399.pdf},,,841,HeinOnline,Counterfactual {E}xplanations without {O}pening the {B}lack {B}ox: {A}utomated {D}ecisions and the {G}{P}{D}{R},31,2017
inproceedings,grad_attr,,"Ancona, Marco and Ceolini, Enea and Oztireli, Cengiz and Gross, Markus",6th International Conference on Learning Representations (ICLR 2018),,,,URL: \url{https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/249929/Flow_ICLR_2018.pdf},,,,,Towards {B}etter {U}nderstanding of {G}radient-based {A}ttribution {M}ethods for {D}eep {N}eural {N}etworks,,2018
article,wallace2019allennlp,,"Wallace, Eric and Tuyls, Jens and Wang, Junlin and Subramanian, Sanjay and Gardner, Matt and Singh, Sameer",,,,arXiv preprint arXiv:1909.09251,URL: \url{https://arxiv.org/pdf/1909.09251.pdf},,,,,AllenNLP Interpret: A Framework for Explaining Predictions of NLP Models,,2019
article,kamiran2012data,,"Kamiran, Faisal and Calders, Toon",,,,Knowledge and Information Systems,URL: \url{https://bit.ly/2lH95lQ},1,,1--33,Springer,Data {P}reprocessing {T}echniques for {C}lassification {W}ithout {D}iscrimination,33,2012
inproceedings,zhang2018mitigating,,"Zhang, Brian Hu and Lemoine, Blake and Mitchell, Margaret","Proceedings of the 2018 AAAI/ACM Conference on AI, Ethics, and Society",,,,URL: \url{https://arxiv.org/pdf/1801.07593.pdf},,ACM,335--340,,Mitigating {U}nwanted {B}iases with {A}dversarial {L}earning,,2018
